PRN,Toc,af0,af1,af2,IODE,Crs,Delta_n,M0,Cuc,e,Cus,Asqrt,Toe,Cic,OMEGA,Cis,i0,Crc,omega,OMEGA_DOT,IDOT,codeL2,GPS_Week,L2Pdata,accuracy,health,TGD,IODC,ttx,Fit_interval
29,417618,-0.000586471986026,-2.04636307899e-12,0,42,132.875,3.94016412365e-09,1.67715307808,6.89551234245e-06,0.00219345244113,7.47106969357e-06,5153.58784676,417600,3.72529029846e-09,-3.12576351424,-6.70552253723e-08,0.97811294969,239.40625,2.39437580503,-7.85747015231e-09,-1.42863093678e-11,1,2249,0,2,0,-1.02445483208e-08,42,410418,4
30,417618,-0.000530069693923,1.25055521494e-12,0,45,12.3125,5.48415700858e-09,-1.32905498781,5.47617673874e-07,0.00612757087219,5.72949647903e-06,5153.62573433,417600,1.11758708954e-07,0.997645223311,-4.65661287308e-08,0.935437938185,251.40625,-2.65260120545,-8.31820362943e-09,1.50006248362e-10,1,2249,0,2,0,3.72529029846e-09,45,410488,4
31,417618,-0.000209420453757,-1.0231815395e-12,0,60,10.125,5.11414159595e-09,-1.77616376428,2.71946191788e-07,0.0107799818506,5.74253499508e-06,5153.64722633,417600,1.34110450745e-07,1.00959518375,-7.45058059692e-08,0.954408841862,260.59375,0.501949429351,-8.15783980677e-09,2.64296723305e-10,1,2249,0,2,0,-1.35041773319e-08,60,410418,4
32,417618,-0.000398183241486,-1.15960574476e-11,0,23,-42.34375,4.22946188835e-09,2.32264885846,-2.09733843803e-06,0.0066311963601,1.05947256088e-05,5153.71465302,417600,0,-0.0686123676491,-2.06753611565e-07,0.959718725394,174.03125,-2.25537465562,-7.65960476757e-09,5.84310053145e-10,1,2249,0,2,0,4.65661287308e-10,23,410418,4
4,423890,-2.6002060622e-05,8.18545231596e-12,0,53,-30.84375,4.31696553323e-09,2.10510502715,-1.55717134476e-06,0.00232174864504,1.0883435607e-05,5153.71204758,423872,-5.02914190292e-08,-0.0255320663931,-5.58793544769e-09,0.962828634683,171.0625,-3.03865465847,-7.75818030221e-09,4.96806408267e-10,1,2249,0,2,0,-4.65661287308e-09,565,416718,4
2,424802,-0.00062037166208,2.6147972676e-12,0,3,27.4375,4.73198282036e-09,-0.53429636064,1.49942934513e-06,0.0200137245702,9.38773155212e-07,5153.68449593,424784,-2.96160578728e-07,-2.23533378829,1.11758708954e-08,0.967100555894,368.28125,-1.32633185651,-8.85144012658e-09,1.75007289756e-10,1,2249,0,2,0,-1.76951289177e-08,3,417618,4
16,424802,-0.000519753899425,1.70530256582e-12,0,0,23.96875,4.39911181209e-09,-2.78592751277,1.02072954178e-06,0.0133952930337,1.00210309029e-05,5153.78808212,424784,3.53902578354e-08,2.1232006172,-2.06753611565e-07,0.965857093082,188.03125,0.763292801203,-7.64853287781e-09,-4.95734935064e-10,1,2249,0,2,63,-1.02445483208e-08,0,424416,4
22,424802,0.000428449828178,7.61701812735e-12,0,38,-41.375,4.13981529707e-09,2.43115667863,-2.11037695408e-06,0.013940922101,1.06766819954e-05,5153.5986023,424784,1.91852450371e-07,0.0229203245978,-1.65775418282e-07,0.962760431979,172.5625,-1.82728824536,-7.41959477019e-09,5.63594904561e-10,1,2249,0,2,63,-7.91624188423e-09,38,417618,4
24,424802,-7.66552984715e-05,-1.5916157281e-11,0,24,15.9375,5.57916096588e-09,0.739216246135,7.84173607826e-07,0.0137268977705,6.25476241112e-06,5153.65029526,424784,-1.43423676491e-07,0.900988822875,1.06170773506e-07,0.933947991231,246,0.885487630263,-8.57857161766e-09,9.25038531568e-11,1,2249,0,2,0,2.32830643654e-09,24,420499,4
1,424818,0.000211774837226,-4.2064129957e-12,0,82,19.59375,4.07659837811e-09,0.462416164621,1.16787850857e-06,0.0123650584137,1.42306089401e-06,5153.65429878,424800,-7.07805156708e-08,-2.13851625621,1.15483999252e-07,0.989378584846,364.40625,0.938383770971,-8.34999066777e-09,-6.50027076237e-11,1,2249,0,2,0,4.65661287308e-09,82,417673,4
